state,2019proj_pop_total,2019proj_pop_male,2019proj_pop_female,2020proj_pop_total,2020proj_pop_male,2020proj_pop_female,2021proj_pop_total,2021proj_pop_male,2021proj_pop_female,2017perc_above60_total,2017perc_above60_male,2017perc_above60_female,2017perc_above60_rural,2017perc_above60_rural_male,2017perc_above60_rural_female,2017perc_above60_urban,2017perc_above60_urban_male,2017perc_above60_urban_female,2016_2020proj_birth_rate,2016_2020proj_death_rate,2017death_rate_total,2017death_rate_male,2017death_rate_female,2017death_rate_rural,2017death_rate_rural_male,2017death_rate_rural_female,2017death_rate_urban,2017death_rate_urban_male,2017death_rate_urban_female,2016_2020expectation_life_male,2016_2020expectation_life_female,2017infant_mortality_rate_total,2017infant_mortality_rate_male,2017infant_mortality_rate_female,2017infant_mortality_rate_rural,2017infant_mortality_rate_rural_male,2017infant_mortality_rate_rural_female,2017infant_mortality_rate_urban,2017infant_mortality_rate_urban_male,2017infant_mortality_rate_urban_female,2011literacy_rate_total,2011literacy_rate_rural,2011literacy_rate_urban,2011literacy_rate_male,2011literacy_rate_male_rural,2011literacy_rate_male_urban,2011literacy_rate_female,2011literacy_rate_female_rural,2011literacy_rate_female_urban,2011_2012poverty_perc_rural,2011_2012poverty_no_rural,2011_2012poverty_perc_urban,2011_2012poverty_no_urban,2011_2012poverty_perc_total,2011_2012poverty_no_total,2015_2016domestic_product,2018_Malaria_case,2018_Malaria_death,2018_Dengue_case,2018_Dengue_death,2018Typoid_male_case,2018Typoid_male_death,2018Typoid_female_case,2018Typoid_female_death,2018Typoid_total_case,2018Typoid_total_death,2018acute_resp_infect_male_case,2018acute_resp_infect_male_death,2018acute_resp_infect_female_case,2018acute_resp_infect_female_death,2018acute_resp_infect_total_case,2018acute_resp_infect_total_death,2018Pneumonia_male_case,2018Pneumonia_male_death,2018Pneumonia_female_case,2018Pneumonia_female_death,2018Pneumonia_total_case,2018Pneumonia_total_death,2018NCD_attended,2018Diabetes,2018Hypertension,2018HTNandDM,2018CVDs,2018Stroke,2018CommonCancers,2015-2016Mothers_antenatal_checkup_first_trimester,2015-2016Mothers_4antenatal_care_visits,2015-2016Mothers_whose_last_birth_protected_neonatal_tetanus7,2015-2016Mothers_consumed_iron_folic_acid,2016-2016Mothers_full_antenatal_care8,2015-2016Mothers_postnatal_care,2015-2016Children_12-23m_fully_immunized,2015-2016Children_12-23m_BCGvaccine,2015-2016Children_12-23m_poliovaccine,2015-2016Children_12-23m_DPTvaccine,2015-2016Children_12-23m_measlesvaccine,2015-2016Children_12-23m_HepatitisBvaccine,2015-2016Children_9-59m_vitaminA,2015-2016public_expenditure_medical_PH_UHS,2015-2016public_expenditure_medical_PH_RHS,2015-2016public_expenditure_medical_PH_MERT,2015-2016public_expenditure_medical_PH_PH,2015-2016public_expenditure_medical_PH_Misc,2015-2016public_expenditure_medical_PH_Total,2015-2016public_expenditure_FamilyWelfare_UFWS,2015-2016public_expenditure_FamilyWelfare_RFWS,2015-2016public_expenditure_FamilyWelfare_MCH,2015-2016public_expenditure_FamilyWelfare_Misc,2015-2016public_expenditure_FamilyWelfare_Total,2015-2016public_expenditure_other,2015-2016public_expenditure_total,2015-2016expenditure_health,2015-2016expenditure,2015-2016health_over_total,2015-2016pop,2015-2016GSDPcurrentprices,2015-2016expenditure_health_percap,2015-2016expenditure_health_perGSDP
Odisha,43450,21903,21547,43762,22052,21710,44068,22198,21870,9.9,10.1,9.8,10.1,10.4,9.9,8.5,8.7,8.3,16.2,8.2,7.4,8.1,6.8,7.7,8.4,7,6,6.3,5.7,66.3,69.6,41,40,41,42,42,42,32,32,33,72.9,70.2,85.7,81.6,79.6,90.7,64,60.7,80.4,35.7,126.1,17.3,12.4,32.6,138.5,68293,66301,4,5198,5,30378,3,22387,4,52765,7,987507,37,805309,21,1792816,58,10251,171,7683,108,17934,279,552450,92783,118978,33938,5487,2050,1457,64.1,62,94.5,36.5,23.1,73.3,78.6,94.1,82.8,89.2,87.9,83.2,69.1,1388,1489,358,268,10,3515,8,89,0,69,166,63,3744,3921,81741,4.8,4.23,330874,927,1.19
Punjab,29868,16162,13706,30101,16300,13801,30323,16432,13891,10.2,9.7,10.7,11,10.4,11.7,9,8.7,9.4,14,7.2,7,7.7,6.2,7.7,8.5,6.9,6,6.7,5.2,70.7,73.8,21,20,22,22,22,23,19,18,20,75.8,71.4,83.2,80.4,76.6,86.7,70.7,65.7,79.2,7.7,13.4,9.2,9.8,8.3,23.2,119261,643,0,14980,9,27906,1,27333,1,55239,2,280089,19,284400,5,564489,24,4988,15,4104,7,9092,22,871579,116181,150685,59557,6555,711,987,75.6,68.5,92.9,42.6,30.7,87.2,89.1,98.2,93.7,94.5,93.1,91,70.6,1217,514,263,195,222,2410,11,113,0,73,197,194,2801,3400,57963,5.87,2.9,391543,1173,0.87
Rajasthan,75828,39602,36227,76759,40089,36670,77676,40568,37107,7.3,6.5,8.2,7.3,6.4,8.3,7.5,6.9,8,19.7,6.5,6,6.6,5.3,6.3,7.1,5.4,5.1,5.2,5.1,68.6,71.9,38,37,40,42,40,43,28,26,30,66.1,61.4,79.7,79.2,76.2,87.9,52.1,45.8,70.7,16.1,84.2,10.7,18.7,14.7,102.9,82325,3502,0,9587,10,48444,0,39307,0,87751,0,2680102,12,2077647,13,4757749,25,88007,59,63367,39,151374,98,8954630,378428,691651,119855,21167,3259,3414,63,38.5,89.7,17.3,9.7,63.7,54.8,88.8,65.4,71.6,78.1,53.1,39.6,1829,1892,746,849,0,5315,20,0,0,2422,2443,61,7818,9858,175589,5.61,7.25,683758,1360,1.44
Sikkim,667,354,313,673,357,316,679,360,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,5.3,3.7,5.3,6.3,4.1,3.4,3.7,3.1,NA,NA,12,10,13,NA,NA,NA,NA,NA,NA,81.4,78.9,88.7,86.6,84.6,92.4,75.6,72.4,84.7,9.9,0.4,3.7,0.1,8.2,0.5,233954,3,0,320,0,55,0,103,0,158,0,46952,6,49306,12,96258,18,160,0,127,0,287,0,76041,915,2586,385,49,13,2,76.2,74.7,97.2,52.8,39,74.2,83,98.9,87.7,93,93.3,84.1,84.3,174,36,1,32,0,243,1,10,0,7,18,1,262,308,5431,5.66,0.06,16954,5126,1.81
Tamil Nadu,70344,35240,35104,70617,35367,35250,65,35482,35383,10.7,10.6,10.9,10.7,10.3,11,10.8,10.8,10.7,13.4,8.5,6.7,7.5,5.8,7.6,8.3,6.7,5.9,6.7,5,69.6,73,16,17,16,19,20,18,14,14,15,80.1,73.5,87,86.8,82,91.8,73.4,65,82.3,15.8,59.2,6.5,23.4,11.3,82.6,137837,3762,0,4486,13,23246,1,21070,0,44316,1,1034667,36,1007699,29,2042366,65,6321,489,5541,268,11862,757,23997842,375315,721197,115235,13787,10201,2860,64,81.2,71,64,45,74.1,69.7,94.9,82.3,84.5,85.1,68.2,68.3,2708,923,863,489,1250,6234,75,347,1179,510,2111,180,8525,8543,171349,4.99,6.92,1161963,1235,0.74
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,8.3,8.2,9.7,9.7,9.7,6,6.2,5.8,NA,NA,6.6,7.2,6,8,8.9,7.1,4.5,4.6,4.3,NA,NA,29,28,29,33,33,32,23,21,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,8.2,10.5,3.4,11.3,11.6,137955,1787,0,4592,2,25813,0,25332,0,51145,0,360895,0,379114,0,740009,0,3343,2,3222,0,6565,2,2850666,122456,143118,NA,NA,NA,13130,83.1,75,89.1,52.8,42.2,81.8,68.1,97.4,75.4,87.9,90.6,70.6,76.3,2066,495,242,261,120,3184,0,85,45,445,575,189,3948,4626,96297,4.8,3.5,567588,1322,0.82
Tripura,3946,2015,1931,3983,2033,1950,4019,2051,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,6,4.3,5.2,6.2,4.1,5.2,5.5,4.9,NA,NA,29,30,27,NA,NA,NA,NA,NA,NA,87.2,84.9,93.5,91.5,90.1,95.5,82.7,79.5,91.4,16.5,4.5,7.4,0.8,14,5.2,NA,13079,13,100,0,1845,2,1819,0,3664,2,116230,10,119695,8,235925,18,721,10,596,7,1317,17,122747,5460,28198,3934,124,482,52,66.4,64.3,93,13.4,7.6,62.1,54.5,82.4,70.1,71.1,69.7,54.4,62.8,266,102,29,45,3,446,0,0,35,129,165,0,610,829,12537,6.62,0.38,34368,2183,2.41
Uttarakhand,11010,5629,5381,11029,5691,5437,11241,5750,5491,8.6,8,9.3,9.2,8.4,10,7.2,7,7.5,NA,NA,6.7,7.8,5.5,7.1,8.4,5.7,5.6,6.2,5,NA,NA,32,35,29,33,38,28,30,29,32,78.8,76.3,84.5,87.4,86.6,89.1,70,66.2,79.3,NA,NA,NA,NA,NA,NA,146826,409,0,689,3,17602,2,16083,2,33685,4,94578,56,96127,30,190705,86,6406,0,5959,0,12365,0,105802,17046,20796,6367,460,244,123,53.5,30.9,91.4,24.9,11.5,54.8,57.7,92.9,68,80,80.6,59.4,36.9,442,632,115,167,0,1357,4,93,0,11,108,32,1496,1871,30799,6.07,1.06,175772,1765,1.06
Uttar Pradesh,228152,120164,107988,231425,121868,109557,234631,123532,111099,6.9,6.6,7.2,6.9,6.6,7.3,6.9,6.7,7.1,23.8,7.1,6.7,6.9,6.5,7.2,7.4,7,5.4,5.5,5.3,67.5,69.2,41,39,43,44,42,45,33,28,38,67.7,65.5,75.1,77.3,76.3,80.4,57.2,53.7,69.2,30.4,479.4,26.1,118.8,29.4,598.2,46299,65431,0,3829,4,428164,126,336108,98,764272,224,1680122,454,1304146,245,2984268,699,89799,71,68457,55,158256,126,3043376,406205,353940,160072,28868,3319,2155,45.9,26.4,86.6,12.9,5.9,54,51.1,87.6,68.3,66.5,70.8,52.8,39.5,2686,4378,1486,430,6,8986,49,1039,273,3105,4465,345,13796,15872,312811,5.07,21.64,1119862,733,1.42
West Bengal,34887,17920,16967,35278,18114,17165,35652,18297,17355,8.7,8.7,8.8,7.7,7.3,8.1,11.1,11.9,10.3,15.3,6.9,5.8,6,5.5,5.7,5.9,5.5,6,6.3,5.7,70.2,73.3,24,23,24,24,24,25,22,21,24,76.3,72.1,84.8,81.7,78.4,88.4,70.5,65.5,81,22.5,141.1,14.7,43.8,20,185,NA,26382,11,0,0,131377,15,119919,2,251296,17,2279282,405,2097811,327,4377093,732,139080,405,127465,255,266545,660,1458531,247614,285134,127759,29907,20529,11897,54.9,76.5,95.4,28.1,21.8,61.1,84.4,97.5,87.9,92.7,92.8,86.4,68.4,3910,2429,610,288,-2,7234,0,177,0,447,624,117,7976,7239,135929,5.33,9.31,NA,778,NA
Andaman and Nicobar Islands,588,298,289,601,305,297,617,312,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.7,4.5,5.8,6.6,5,4.2,4.5,4,NA,NA,14,16,13,NA,NA,NA,NA,NA,NA,86.6,84.5,90.1,90.3,88.5,93.1,82.4,79.9,86.6,1.6,0,0,0,1,0,124361,259,0,49,0,343,0,297,0,640,0,19113,4,17592,3,36705,7,81,21,60,2,141,23,11052,230,362,93,NA,NA,NA,68.4,92.1,91.8,58.4,53.6,75,73.2,87.4,83.9,83.5,76.4,83.1,69.3,NA,NA,NA,NA,NA,302,NA,NA,NA,NA,NA,13,315,310,NA,NA,0.05,5932,6201,5.23
Chandigarh,2028,1230,798,2122,1297,825,2226,1372,854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.9,4.1,2.7,3.4,1.8,4.5,4.9,4.1,NA,NA,14,19,8,NA,NA,NA,NA,NA,NA,70.3,66,84,90,85.8,90.1,81.2,73.2,81.4,1.6,0,22.3,2.3,21.8,2.3,229976,44,0,301,0,6505,0,6653,0,13158,0,85105,25,71727,10,156832,35,12704,132,9792,83,22496,215,28315,2912,4099,2444,47,20,8,67.4,64.5,95.1,44.9,34.7,89,-79.5,-95.9,-79.5,-95.9,-95.9,-82.7,56.3,NA,NA,NA,NA,NA,358,NA,NA,NA,NA,NA,16,374,378,NA,NA,0.17,28643,2224,1.32
Dadra & Nagar Haveli,468,253,215,486,262,223,506,273,233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,4.2,4.6,5.7,6.3,5.1,4.5,4.7,3.4,NA,NA,13,13,14,NA,NA,NA,NA,NA,NA,76.2,64.1,89.8,85.2,76.4,94,64.3,49.6,83.4,62.6,1.2,15.4,0.3,39.3,1.4,NA,173,1,493,0,4867,0,4379,0,9246,0,41529,5,32956,3,74485,8,73,10,65,13,138,23,29563,2916,3169,6085,1062,335,NA,63.6,75.6,86.8,43.9,33.1,66.7,43.2,88.9,58.1,73.3,81.7,52.1,59.3,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,0,101,98,NA,NA,0.04,NA,2451,NA
Daman & Diu,374,256,119,391,269,122,409,284,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,5,4.4,5.7,6.3,5.1,4.5,4.7,4.2,NA,NA,17,17,17,NA,NA,NA,NA,NA,NA,87.1,81.4,89,91.5,89.4,92.1,79.5,71.9,82.9,0,0,12.6,0.3,9.9,0.3,NA,24,0,163,0,326,0,289,0,615,0,44561,0,34356,0,78917,0,54,1,37,1,91,2,73383,2812,3063,412,234,44,4,75.1,62.7,71.1,38.3,29.9,60.1,66.3,84.3,74.4,74,79.1,60.6,68.4,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,1,64,62,NA,NA,0.03,NA,2073,NA
Dadra and Nagar Haveli and Daman and Diu,842,509,334,877,531,345,915,557,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,4.6,4.5,5.7,6.3,5.1,4.5,4.7,3.7,NA,NA,15,15,15,NA,NA,NA,NA,NA,NA,81,71.8,89.4,88.3,82.9,93.1,69.7,57.5,83.2,34.9,0.7,14.2,0.3,26.3,0.9,NA,197,1,656,0,5193,0,4668,0,9861,0,86090,5,67312,3,153402,8,127,11,102,14,229,25,102946,5728,6232,6497,1296,379,4,67.7,71,81.2,41.9,32,64.4,53.4,86.9,65.3,73.6,80.5,55.9,63.3,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,1,165,160,NA,NA,0.07,NA,2286,NA
Delhi,23164,12897,10267,23818,13270,10549,24485,13650,10835,6.6,6.4,6.9,6.5,5.9,7.2,6.6,6.4,6.9,NA,NA,3.7,4,3.3,4.2,4.3,4,3.7,4,3.3,NA,NA,16,17,16,12,16,8,16,17,16,86.2,81.9,86.3,90.9,89.4,91,80.8,73.1,80.9,12.9,0.5,9.8,16.5,9.9,17,273618,473,0,7136,4,14332,12,12800,8,27132,20,218210,296,203257,196,421467,492,19794,424,16065,299,35859,723,NA,NA,NA,NA,NA,NA,NA,63.3,68.6,89.9,49.9,37.3,62.6,66.4,94.7,77.4,83.7,90.5,59.8,54.2,2798,6,156,293,317,3570,4,0,1,59,64,125,3759,4183,36520,11.45,2.1,548081,1992,0.76
Lakshadweep,84,40,44,85,40,45,86,41,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,7.1,5.8,8.3,7.9,8.7,6,6.9,5.2,NA,NA,20,25,14,NA,NA,NA,NA,NA,NA,91.8,91.6,91.9,95.6,94.5,95.8,87.9,88.5,87.8,0,0,3.4,0,2.8,0,NA,5,0,0,0,38,0,19,0,57,0,17920,0,15454,0,33374,0,24,0,32,0,56,0,NA,NA,NA,NA,NA,NA,NA,91.9,82.8,94,82.1,66.4,92.6,86.9,100,90.5,94.2,92.5,86.7,52.3,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,3,58,60,NA,NA,0.01,NA,6018,NA
Puducherry,1868,1082,785,1944,1142,802,2028,1208,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,9,5.7,7.8,9.4,6.3,7.1,8.9,5.4,NA,NA,11,10,12,NA,NA,NA,NA,NA,NA,85.8,80.1,88.5,91.3,87.4,93,80.7,73,84.2,17.1,0.7,6.3,0.6,9.7,1.2,157871,54,1,592,2,690,0,617,2,1307,2,505022,19,480941,14,985963,33,631,47,482,27,1113,74,89356,1985,741,354,5305,1494,291,80.6,87.7,82.1,66.3,55.6,84.9,91.3,99.9,95.4,96,95.4,89.4,75,282,41,108,25,25,480,0,4,0,3,7,0,488,534,6062,8.82,0.16,25060,3340,2.13
Assumption,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population","Per 1,000 mid year population",NA,NA,"Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births","Per 1,000 live births",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep","1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep","1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep","1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep","1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep","1. Poverty as on 1st March 2010 has been used for estimating number of persons below poverty line. (Interpolated between 2001 and 2011 population census)
2. overty ratio of Tamil Nadu is used for Puducherry & Andaman Nicobar Islands.
3. Urban poverty ratio of Punjab is used for both rural and urban poverty of Chandigarh
4. Poverty line of Maharashtra is used for Dadra & Nagar Haveli
5. Poverty ratio of Goa is used for Daman & Diu
6. Poverty ratio of Kerala is used for Lakshadweep",NA,NA,NA,NA,NA,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,Excluding August data for Lakshadweep,NA,NA,NA,NA,NA,NA,NA,For last birth in the 5 years before the survey,For last birth in the 5 years before the survey,For last birth in the 5 years before the survey,For last birth in the 5 years before the survey,For last birth in the 5 years before the survey,For last birth in the 5 years before the survey,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
